zh-TC
Conversation ID,Entry ID,Actor,Original Text,Translated Text [zh-TC],Original Menu,Translated Menu [zh-TC],Description
33,8,ToiletKid,"Sure, thank you!",,,,
33,9,ToiletKid,You are a kind kid! Appreciate it!,,,,
33,10,ToiletKid,"Well, ok. Thank you kid!",,,,
33,11,ToiletKid,Thank you all the same.,,,,
34,0,Player,,,,,
34,1,Cashier,Welcome! Feel free to put what you want to buy on the counter. Thank you!,,,,
34,5,Player,Sure.,,,,
35,0,Player,,,,,
35,1,Cashier,Have you decided?,,,,
35,2,Player,"Yes, I decided. Please help me check out. Thank you.",,,,
35,3,Player,"No, not yet. Let me bring a new one.",,,,
36,0,Player,,,,,
36,1,Cashier,Thank you. Here is your 30HKD changes.,,,,
36,2,Player,Thank you.,,,,
36,3,Cashier,"This is a charity project, you can use the change to play if you interested.",,,,
36,4,Player,That's great.,,,,
37,0,Player,,,,,
37,1,Mother,Could you help clean the table and floor?,,,,
37,2,Player,Got it!,,,,
37,3,Mother,That's great! You can come back to meet me after you finish..,,,,
37,4,Mother,Have you cleaned all the dirts? You can use the [yellow dishcloth] to clean all the dirts on the table; use the [vacuum cleaner] besides the door to clean dirts on the floor.,,,,
37,5,Player,"Yes, I think so.",,,,
37,6,Player,Not yet. Let me check.,,,,
37,7,Mother,Thank you. Just keep your eyes on the table and the floor.,,,,
37,8,Player,No problem! What should I do?,,,,
37,9,Mother,You can use the [yellow dishcloth] to clean all the dirts on the table; use the [vacuum cleaner] besides the door to clean dirts on the floor.,,,,
37,10,Player,"Sorry, I don't want to.",,,,
38,0,Player,,,,,
38,1,Mother,Excellent! Thanks for your helping.,,,,
38,2,Mother,Great! Thank you.,,,,
38,3,Mother,Nice.,,,,
38,4,Player,My pleasure.,,,,
38,5,Player,Glad to help.,,,,
38,6,Player,You are welcome.,,,,
39,0,Player,,,,,
39,1,Mother,I'm feeling a bit uncomfortable under the weather. Could you help me make four sandwiches as breakfast?\r,,,,
39,2,Player,No problem! What should I do?,,,,
39,3,Player,"Sorry, I don't want to.",,,,
39,4,Mother,You may add some ingredients between slices of bread according to the menu over there.,,,,
39,5,Player,I will handle this!,,,,
40,0,Player,,,,,
40,1,Mother,Have you made all the sandwiches according to the menu?,,,,
40,2,Player,"Yes, all the sandwiches have been made.",,,,
40,3,Player,Not yet. I will keep working on this.,,,,
41,0,Player,,,,,
41,1,Mother,Excellent! Thanks for your helping.,,,,
41,2,Mother,Great! Thank you.,,,,
41,3,Mother,Nice.,,,,
41,4,Player,My pleasure.,,,,
41,5,Player,Glad to help.,,,,
41,6,Player,You are welcome.,,,,
42,0,Player,,,,,
42,1,Mother,Could you help wash the dishes?\r,,,,
42,2,Player,Of course. What should I do?,,,,
42,3,Mother,Just the sponge there to clean dirts on the blue bowls. You can come back to meet me after you finish.,,,,
42,4,Player,OK.,,,,
42,5,Player,"Sorry, I don't want to.",,,,
43,0,Player,,,,,
43,1,Mother,Have you cleaned all the dirts on the bowls using sponge?,,,,
43,2,Player,Yes! I think the bowls are clean now.,,,,
43,3,Player,Not yet. I will keep working on it.,,,,
44,0,Player,,,,,
44,1,Mother,Excellent! Thanks for your helping.,,,,
44,2,Player,My pleasure.,,,,
44,3,Mother,Great! Thank you.,,,,
44,4,Mother,Nice. ,,,,
44,5,Player,Glad to help.,,,,
44,6,Player,You are welcome.,,,,
45,0,Player,,,,,
45,1,Grandma,I want to read the newspaper but I can't find my glasses. Can you help me find it?,,,,
45,2,Player,Of course! What does the glasses look like?,,,,
45,3,Player,"No, I don't want to help.",,,,
45,4,Grandma,It is a pair of transparent glasses. I am not sure if it is on the table of dining room or the living room. ,,,,
45,5,Player,No problem. Let me help you check it.,,,,
45,6,Grandma,Have you got my glasses? ,,,,
45,7,Player,Yes! Here you are.,,,,
45,8,Player,Not yet. Where is the last place you used it?,,,,
45,9,Grandma,You may check the table of dining room and living room. It is a pair of transparent glasses.,,,,
46,0,Player,,,,,
46,1,Grandma,"Excellent! Thanks for your helping. I can read newspaper now, you are really helpful!",,,,
46,2,Grandma,"It is not my glasses, but thank you.",,,,
46,3,Player,That's great.,,,,
46,4,Player,"Oh, OK.",,,,
1,0,Player,,,,,
1,3,Player,"It seems that you feel really sorry for broking your frend’s robot. But it was not intentional, right? Let me help you fix it.",,,,
1,4,Sister,I've just told my friend that I broke her favoirte robot. She said she would longer talk to me. It's all my fault.\r,,,,
1,5,Player,That's really sad. Your friend must be really angry. Let me help you fix it.,,,,
1,6,Player,You were so careless. Your friend must be really angry about that. ,,,,
1,7,Sister,I just broke it by accident. It will be good if you can help me.,,,,
1,8,Sister,"Thank you for saying that. Yes, I just broke it by accident. It will be great if you can help me!",,,,
1,9,Sister,I really don't know what to do now.,,,,
1,10,Player,"You're welcome, I’m glad I could help!",,,,
1,11,Player,"You're welcome, I’m glad I could help!",,,,
1,12,Player,Let me help you fix it.,,,,
1,13,Sister,Thank you for your companion. I am feeling better now.,,,,
1,14,Player,That's great!,,,,
47,0,Player,,,,,
47,1,Teacher,"Oh, sorry, I was so careless! Can you help me pick them up ?",,,,
47,2,Player,Sure thing! Let me help you.,,,,
47,3,Player,"Sorry Miss, I am busy right now.",,,,
47,4,Teacher,It's ok.,,,,
47,5,Teacher,You are helpful! Please put them on where they should be.,,,,
47,6,Player,"OK, I will.",,,,
47,7,Teacher,Have you put all the things back?,,,,
47,8,Player,"Yes, I think so.",,,,
47,9,Player,Not yet. May I know the details?,,,,
47,10,Teacher,"For example, put the books back to the shelf, put the dustbin besides the shelf. Remember to categorize them.",,,,
47,11,Player,"OK, I will.",,,,
48,0,Player,,,,,
48,1,Teacher,Excellent! Thanks for your helping.,,,,
48,2,Teacher,Great! Thank you.,,,,
48,3,Teacher,Thank you.,,,,
48,4,Player,"\rYou're welcome, I’m glad I could help!\r",,,,
48,5,Player,"You're welcome, I’m glad I could help!",,,,
48,6,Player,You're welcome.,,,,
49,0,Player,,,,,
49,1,WaterGirl,"Sorry, I accidentally spilled my bottle of water. Could you help clean the table and floor?",,,,
49,2,Player,No problem! Let me help you.,,,,
49,3,Player,"Sorry, I am in a hurry. I can't help you.",,,,
49,4,WaterGirl,You are so helpful. You may find the towel and the mop on the corner of the classroom.,,,,
49,5,Player,Got it. Let me get them first.,,,,
49,6,WaterGirl,Have you cleaned all the water? You can find the towel and the mop is on the corner of the classroom. ,,,,
49,7,Player,Yes. The water on the table and ground has been wiped dry.,,,,
49,8,Player,Not yet. Let me do it right now.,,,,
50,0,Player,,,,,
50,1,WaterGirl,Excellent! Thanks for your helping.,,,,
50,2,WaterGirl,Great! Thank you.,,,,
50,3,WaterGirl,Nice.,,,,
50,4,Player,"You're welcome, I’m glad I could help!",,,,
50,5,Player,"You're welcome, I’m glad I could help!",,,,
50,6,Player,You're welcome.,,,,
6,0,Player,,,,,
6,1,HighlighterGirl,"Oh, I just found that there is little ink in my highlighter, but I forgot to bring one more!\r",,,,
6,2,Player,"It's ok, don't worry! I can lend you my highlighter,it is in my drawer. Just give my back tomorrow.",,,,
6,5,HighlighterGirl,I didn't want to. But thank you.,,,,
6,7,Player,You're welcome.,,,,
6,8,HighlighterGirl,Have you got the highlighter for me?,,,,
6,9,Player,,,Yes! Here you are!,,
6,10,Player,,,Not yet...Let me get it for you now!,,
6,11,HighlighterGirl,,,Thank you!,,
6,16,Player,,,It's your bad!,,
51,0,Player,,,,,
51,1,HighlighterGirl,What a nice highlighter! I will use it carefully! Thank you!,,,,
51,2,Player,Glad to help!,,,,
7,0,Player,,,,,
7,2,SadBoy,"I had a quarrel with my parents yesterday. They never care about what I am thinking, and never support my dreams.\r",,,,
7,3,Player,"""That's really sad. Most parents are same as yours. Let me help you think about how to communicate with them. """,,,,
7,4,Player,"""Don't be sad. Most parents are like this. Let's play games now.""",,,,
7,5,Player,"""It seems that you feel really sad and disappointed about your parents‘ behaviors. Let me help you think about how to communicate with them better. ",,,,
7,6,SadBoy,"""Thank you for saying that. Yes, I am really disappointed now. It will be great if you can help me!""",,,,
7,7,SadBoy,"""Yes, I don't know what I should do. It will be great if you can help me.""",,,,
7,8,SadBoy,"""I really don't know what to do now. I am even not in the mood to play games.""",,,,
7,9,Player,"You're welcome, I’m glad I could help!",,,,
7,10,Player,"You're welcome, I’m glad I could help!",,,,
7,11,Player,Let me help you think about how to communicate with them. ,,,,
7,12,SadBoy,Thank you! I feel much better now!,,,,
7,13,SadBoy,Thank you. I feel better now!,,,,
7,14,SadBoy,Thank you.,,,,
7,15,SadBoy,Thank you. I feel better now!,,,,
7,16,Player,You are welcome.,,,,
52,0,Player,,,,,
52,1,ToyClassmate,We will start our next class soon. Would you like to help organize stationery and sporting goods? So that other classmates won't trip up.,,,,
52,2,Player,Of course! Just let me know what should I do.,,,,
52,3,Player,"I got so many things to do. I can't help you this time, sorry.",,,,
52,4,ToyClassmate,It's OK.,,,,
52,5,ToyClassmate,"You are helpful! Please help hang the jump rope and ruler back on the hooks on the wall, put the balls back to the box.",,,,
52,6,Player,No problem! I will handle it.,,,,
52,7,ToyClassmate,Have you put all the things back?,,,,
52,8,Player,"Yes, I think so.",,,,
52,9,Player,Not yet. Would you mind let me know the task again?,,,,
52,10,ToyClassmate,"Sure. Please help hang the jump rope and ruler back on the hooks on the wall, put the balls back to the box.",,,,
52,11,Player,"OK, I will.",,,,
54,0,Player,,,,,
54,1,ToyClassmate,Excellent! Thanks for your helping.,,,,
54,2,ToyClassmate,Great! Thank you.,,,,
54,3,ToyClassmate,Nice.,,,,
54,4,Player,"\rYou're welcome, I’m glad I could help!\r",,,,
54,5,Player,"\rYou're welcome, I’m glad I could help!\r",,,,
54,6,Player,\rYou're welcome.,,,,
53,0,Player,,,,,
53,1,Mother,"You are a good kid. I don't have task for you, you can ask if anyone needs help.",,,,
55,0,Player,,,,,
55,1,FruitLady,"Hi, would you mind help me put those fruits back to the basket? I have poor eyesight, can't handle this.",,,,
55,2,Player,I am glad to. Let me help you!,,,,
55,3,Player,"No, I don't have time. Sorry.",,,,
55,4,DogOwner,Are all the fruits put back in the basket?,,,,
55,5,Player,"Yes, I think so!",,,,
55,6,Player,"No, not yet.",,,,
56,0,Player,,,,,
56,1,FruitLady,Excellent! You are a good kid.,,,,
56,2,Player,My pleasure.,,,,
56,3,FruitLady,Nice! Thank you.,,,,
56,4,FruitLady,Thank you.,,,,
56,5,Player,My pleasure.,,,,
56,6,Player,My pleasure.,,,,
57,0,Player,,,,,
57,1,DogOwner,Thank you so much. I can't handle it without you.,,,,
57,2,DogOwner,Thank you all the same.,,,,
57,3,Player,My pleasure.,,,,
58,0,Player,,,,,
58,3,Mother,,,,,
58,4,Grandma,Random_1,,,,
58,5,Grandma,Random_2,,,,
58,6,Grandma,Random_3,,,,
58,7,Player,RandomReply_1,,,,
58,8,Player,RandomReply_2,,,,
58,9,Player,RandomReply_3,,,,
59,0,Player,,,,,
60,0,Player,,,,,
61,0,Player,,,,,
62,0,Player,,,,,
